Temperature,Humidity,Fine Particles 2.5,Lat,Long,Speed
25.26,36.58,18.1,: 0.00,: 0.00,: 0.00
25.21,36.4,18.8,: 0.00,: 0.00,: 0.00
25.26,36.38,24.9,: 0.00,: 0.00,: 0.00
25.31,36.58,26.1,: 0.00,: 0.00,: 0.00
25.33,36.88,25.5,: 0.00,: 0.00,: 0.00
25.43,36.98,21.1,: 0.00,: 0.00,: 0.00
25.5,37.16,17.4,: 0.00,: 0.00,: 0.00
25.56,37.16,17,: 0.00,: 0.00,: 0.00
25.62,37.26,20.1,: 0.00,: 0.00,: 0.00
25.86,37.45,23.2,: 0.00,: 0.00,: 0.00
25.99,37.82,32.3,: 0.00,: 0.00,: 0.00
26.08,38.62,33.3,: 0.00,: 0.00,: 0.00
26.1,38.81,33.3,: 0.00,: 0.00,: 0.00
26.71,38.85,21.8,: 0.00,: 0.00,: 0.00
26.99,39.14,15.8,: 0.00,: 0.00,: 0.00
27.3,39.31,10.7,: 0.00,: 0.00,: 0.00
27.48,39.4,9.6,0,0,0
27.51,39,9.7,0,0,0
27.76,38.29,9.2,0,0,0
27.96,38.07,6.7,0,0,0
28.2,38.06,5.4,0,0,0
28.48,37.94,4.9,0,0,0
28.75,37.82,4.3,0,0,0
29.05,37.8,4,0,0,0
29.35,37.87,3.3,0,0,0
29.64,37.85,3.2,0,0,0
29.96,37.73,2.8,0,0,0
30.19,37.41,2.7,0,0,0
30.44,37.2,2.3,0,0,0
30.66,36.88,2.6,0,0,0
30.9,36.67,2.7,0,0,0
31.2,36.55,2.9,0,0,0
31.55,36.52,2.6,0,0,0
32,36.6,2.5,0,0,0
32.37,36.57,2.5,0,0,0
32.77,36.43,2.5,0,0,0
33.28,36.3,2.7,0,0,0
33.82,36.26,2.6,0,0,0
34.65,35.53,2.5,0,0,0
34.86,34.92,2.5,0,0,0
34.2,34.58,2.7,0,0,0
33.76,33.84,2.6,0,0,0
